"Landesindex der Konsumentenpreise / Indice des prix à la consommation","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","© Bundesamt für Statistik / Office fédéral de la statistique, Espace de l'Europe 10, CH-2010 Neuchâtel"
"Indexierungstabelle / Tableau d'indexation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auskunft / Renseignements: LIK@bfs.admin.ch, 058 / 463 69 00"
"Originalbasen / Bases originales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.LIK.bfs.admin.ch"
"Datum / Date",5266,14458,24351,28369,30286,34090,36647,2005-12-01,2010-12-01,2015-12-01,2020-12-01,"% m-1","% m-12"
"39904",1040.4,758.4,335.7,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,NA,NA,NA,"0.9","-0.3"
"39934",1042,759.6,336.2,199.4,159.9,115.5,108.9,1900-04-12 12:00:00,NA,NA,NA,"0.2","-1"
"39965",1043.9,760.9,336.8,199.8,160.2,115.7,109.1,1900-04-12 14:24:00,NA,NA,NA,"0.2","-1"
"39995",1037,755.9,334.6,198.5,159.2,114.9,108.4,1900-04-12,NA,NA,NA,"-0.7","-1.2"
"40026",1038.1,756.7,334.9,198.7,159.3,115.1,108.5,1900-04-12 02:24:00,NA,NA,NA,"0.1","-0.8"
"40057",1038,756.6,334.9,198.6,159.3,115.1,108.5,1900-04-12 02:24:00,NA,NA,NA,"0","-0.9"
"40087",1044.4,761.3,337,199.9,160.3,115.8,109.1,1900-04-12 16:48:00,NA,NA,NA,"0.6","-0.8"
"40118",1046.5,762.8,337.6,200.3,160.6,116,109.3,1900-04-12 21:36:00,NA,NA,NA,"0.2","0"
"40148",1043.9,761,336.8,199.8,160.2,115.7,109.1,1900-04-12 14:24:00,NA,NA,NA,"-0.2","0.3"
"40179",1042.8,760.1,336.4,199.6,160.1,115.6,109,1900-04-12 12:00:00,NA,NA,NA,"-0.1","1"
"40210",1044.3,761.2,336.9,199.9,160.3,115.8,109.1,1900-04-12 16:48:00,NA,NA,NA,"0.1","0.9"
"40238",1045.7,762.3,337.4,200.1,160.5,115.9,109.3,1900-04-12 19:12:00,NA,NA,NA,"0.1","1.4"
"40269",1054.7,768.8,340.3,201.8,161.9,116.9,110.2,1900-04-13 16:48:00,NA,NA,NA,"0.9","1.4"
"40299",1053.6,768,339.9,201.6,161.7,116.8,110.1,1900-04-13 14:24:00,NA,NA,NA,"-0.1","1.1000000000000001"
"40330",1049,764.6,338.4,200.8,161,116.3,109.6,1900-04-13 04:48:00,NA,NA,NA,"-0.4","0.5"
"40360",1041.3,759.1,336,199.3,159.8,115.4,108.8,1900-04-12 09:36:00,NA,NA,NA,"-0.7","0.4"
"40391",1041.2,758.9,335.9,199.3,159.8,115.4,108.8,1900-04-12 09:36:00,NA,NA,NA,"0","0.3"
"40422",1040.9,758.8,335.8,199.2,159.8,115.4,108.8,1900-04-12 09:36:00,NA,NA,NA,"0","0.3"
"40452",1046.5,762.8,337.6,200.3,160.6,116,109.3,1900-04-12 21:36:00,NA,NA,NA,"0.5","0.2"
"40483",1049,764.6,338.4,200.8,161,116.3,109.6,1900-04-13 04:48:00,NA,NA,NA,"0.2","0.2"
"40513",1049.4,764.9,338.6,200.8,161.1,116.3,109.6,1900-04-13 04:48:00,1900-04-09,NA,NA,"0","0.5"
"40544",1045.7,762.2,337.4,200.1,160.5,115.9,109.3,1900-04-12 19:12:00,1900-04-08 14:24:00,NA,NA,"-0.4","0.3"
"40575",1049.6,765.1,338.6,200.9,161.1,116.3,109.7,1900-04-13 04:48:00,1900-04-09,NA,NA,"0.4","0.5"
"40603",1056.2,769.9,340.8,202.1,162.1,117.1,110.4,1900-04-13 21:36:00,1900-04-09 16:48:00,NA,NA,"0.6","1"
"40634",1057.4,770.8,341.2,202.4,162.3,117.2,110.5,1900-04-14,1900-04-09 19:12:00,NA,NA,"0.1","0.3"
"40664",1057.5,770.8,341.2,202.4,162.3,117.2,110.5,1900-04-14,1900-04-09 19:12:00,NA,NA,"0","0.4"
"40695",1054.9,769,340.4,201.9,161.9,116.9,110.2,1900-04-13 16:48:00,1900-04-09 12:00:00,NA,NA,"-0.2","0.6"
"40725",1046.2,762.6,337.6,200.2,160.6,116,109.3,1900-04-12 21:36:00,1900-04-08 16:48:00,NA,NA,"-0.8","0.5"
"40756",1043.2,760.4,336.6,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,NA,NA,"-0.3","0.2"
"40787",1046,762.5,337.5,200.2,160.6,115.9,109.3,1900-04-12 21:36:00,1900-04-08 16:48:00,NA,NA,"0.3","0.5"
"40817",1045.3,761.9,337.3,200,160.4,115.9,109.2,1900-04-12 19:12:00,1900-04-08 14:24:00,NA,NA,"-0.1","-0.1"
"40848",1043.5,760.6,336.7,199.7,160.2,115.7,109,1900-04-12 14:24:00,1900-04-08 09:36:00,NA,NA,"-0.2","-0.5"
"40878",1041.9,759.4,336.1,199.4,159.9,115.5,108.9,1900-04-12 09:36:00,1900-04-08 07:12:00,NA,NA,"-0.2","-0.7"
"40909",1037.4,756.2,334.7,198.5,159.2,115,108.4,1900-04-12,1900-04-07 21:36:00,NA,NA,"-0.4","-0.8"
"40940",1040.3,758.3,335.7,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0.3","-0.9"
"40969",1046.1,762.6,337.5,200.2,160.6,116,109.3,1900-04-12 21:36:00,1900-04-08 16:48:00,NA,NA,"0.6","-1"
"41000",1046.9,763.1,337.8,200.4,160.7,116.1,109.4,1900-04-12 21:36:00,1900-04-08 19:12:00,NA,NA,"0.1","-1"
"41030",1046.7,763,337.7,200.3,160.7,116,109.4,1900-04-12 21:36:00,1900-04-08 19:12:00,NA,NA,"0","-1"
"41061",1043.8,760.9,336.8,199.8,160.2,115.7,109.1,1900-04-12 14:24:00,1900-04-08 12:00:00,NA,NA,"-0.3","-1.1000000000000001"
"41091",1038.8,757.2,335.1,198.8,159.4,115.1,108.5,1900-04-12 02:24:00,1900-04-08,NA,NA,"-0.5","-0.7"
"41122",1038.4,757,335,198.7,159.4,115.1,108.5,1900-04-12 02:24:00,1900-04-08,NA,NA,"0","-0.5"
"41153",1041.7,759.3,336.1,199.4,159.9,115.5,108.8,1900-04-12 09:36:00,1900-04-08 07:12:00,NA,NA,"0.3","-0.4"
"41183",1043,760.3,336.5,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,NA,NA,"0.1","-0.2"
"41214",1039.6,757.8,335.4,198.9,159.6,115.2,108.6,1900-04-12 04:48:00,1900-04-08 02:24:00,NA,NA,"-0.3","-0.4"
"41244",1037.3,756.1,334.7,198.5,159.2,115,108.4,1900-04-12,1900-04-07 21:36:00,NA,NA,"-0.2","-0.4"
"41275",1034.6,754.2,333.8,198,158.8,114.7,108.1,1900-04-11 16:48:00,1900-04-07 14:24:00,NA,NA,"-0.3","-0.3"
"41306",1037.7,756.4,334.8,198.6,159.3,115,108.4,1900-04-12,1900-04-07 21:36:00,NA,NA,"0.3","-0.3"
"41334",1039.9,758,335.5,199,159.6,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0.2","-0.6"
"41365",1040.3,758.3,335.6,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0","-0.6"
"41395",1041.4,759.1,336,199.3,159.9,115.4,108.8,1900-04-12 09:36:00,1900-04-08 04:48:00,NA,NA,"0.1","-0.5"
"41426",1042.5,759.9,336.3,199.5,160,115.6,108.9,1900-04-12 12:00:00,1900-04-08 07:12:00,NA,NA,"0.1","-0.1"
"41456",1038.7,757.2,335.1,198.8,159.4,115.1,108.5,1900-04-12 02:24:00,1900-04-08,NA,NA,"-0.4","0"
"41487",1038,756.6,334.9,198.6,159.3,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,NA,NA,"-0.1","0"
"41518",1041.1,758.9,335.9,199.2,159.8,115.4,108.8,1900-04-12 09:36:00,1900-04-08 04:48:00,NA,NA,"0.3","-0.1"
"41548",1040.3,758.3,335.6,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"-0.1","-0.3"
"41579",1040.4,758.4,335.7,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0","0.1"
"41609",1038,756.7,334.9,198.7,159.3,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,NA,NA,"-0.2","0.1"
"41640",1035.2,754.6,334,198.1,158.9,114.8,108.2,1900-04-11 19:12:00,1900-04-07 14:24:00,NA,NA,"-0.3","0.1"
"41671",1036.2,755.3,334.3,198.3,159.1,114.9,108.3,1900-04-11 21:36:00,1900-04-07 16:48:00,NA,NA,"0.1","-0.1"
"41699",1040,758.1,335.5,199,159.6,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0.4","0"
"41730",1040.7,758.6,335.8,199.2,159.7,115.4,108.7,1900-04-12 07:12:00,1900-04-08 04:48:00,NA,NA,"0.1","0"
"41760",1043.7,760.8,336.7,199.7,160.2,115.7,109.1,1900-04-12 14:24:00,1900-04-08 12:00:00,NA,NA,"0.3","0.2"
"41791",1043,760.3,336.5,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,NA,NA,"-0.1","0"
"41821",1039.1,757.4,335.2,198.9,159.5,115.2,108.6,1900-04-12 04:48:00,1900-04-08,NA,NA,"-0.4","0"
"41852",1038.7,757.2,335.1,198.8,159.4,115.1,108.5,1900-04-12 02:24:00,1900-04-08,NA,NA,"0","0.1"
"41883",1040.2,758.2,335.6,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0.1","-0.1"
"41913",1040.2,758.2,335.6,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,NA,NA,"0","0"
"41944",1039.8,757.9,335.5,199,159.6,115.3,108.6,1900-04-12 04:48:00,1900-04-08 02:24:00,NA,NA,"0","-0.1"
"41974",1034.6,754.2,333.8,198,158.8,114.7,108.1,1900-04-11 16:48:00,1900-04-07 14:24:00,NA,NA,"-0.5","-0.3"
"42005",1030.2,750.9,332.4,197.1,158.1,114.2,107.6,1900-04-11 07:12:00,1900-04-07 04:48:00,NA,NA,"-0.4","-0.5"
"42036",1027.5,749,331.5,196.6,157.7,113.9,107.4,1900-04-11,1900-04-06 21:36:00,NA,NA,"-0.3","-0.8"
"42064",1030.9,751.4,332.6,197.3,158.2,114.3,107.7,1900-04-11 09:36:00,1900-04-07 04:48:00,NA,NA,"0.3","-0.9"
"42095",1029,750.1,332,196.9,157.9,114.1,107.5,1900-04-11 04:48:00,1900-04-07 02:24:00,NA,NA,"-0.2","-1.1000000000000001"
"42125",1031.4,751.8,332.8,197.4,158.3,114.3,107.8,1900-04-11 09:36:00,1900-04-07 07:12:00,NA,NA,"0.2","-1.2"
"42156",1032.1,752.4,333,197.5,158.4,114.4,107.8,1900-04-11 12:00:00,1900-04-07 09:36:00,NA,NA,"0.1","-1"
"42186",1025.8,747.7,331,196.3,157.5,113.7,107.2,1900-04-10 19:12:00,1900-04-06 19:12:00,NA,NA,"-0.6","-1.3"
"42217",1024.2,746.5,330.4,196,157.2,113.5,107,1900-04-10 16:48:00,1900-04-06 14:24:00,NA,NA,"-0.2","-1.4"
"42248",1025.2,747.3,330.8,196.2,157.4,113.6,107.1,1900-04-10 19:12:00,1900-04-06 16:48:00,NA,NA,"0.1","-1.4"
"42278",1026,747.9,331,196.4,157.5,113.7,107.2,1900-04-10 21:36:00,1900-04-06 19:12:00,NA,NA,"0.1","-1.4"
"42309",1025.3,747.4,330.8,196.2,157.4,113.7,107.1,1900-04-10 19:12:00,1900-04-06 16:48:00,NA,NA,"-0.1","-1.4"
"42339",1021.1,744.3,329.4,195.4,156.7,113.2,106.7,1900-04-10 09:36:00,1900-04-06 07:12:00,1900-04-09,NA,"-0.4","-1.3"
"42370",1017.1,741.4,328.2,194.7,156.1,112.7,106.3,1900-04-10,1900-04-05 21:36:00,1900-04-08 14:24:00,NA,"-0.4","-1.3"
"42401",1019,742.8,328.8,195,156.4,113,106.5,1900-04-10 04:48:00,1900-04-06 02:24:00,1900-04-08 19:12:00,NA,"0.2","-0.8"
"42430",1022,745,329.7,195.6,156.9,113.3,106.8,1900-04-10 12:00:00,1900-04-06 09:36:00,1900-04-09 02:24:00,NA,"0.3","-0.9"
"42461",1025.4,747.4,330.8,196.2,157.4,113.7,107.1,1900-04-10 19:12:00,1900-04-06 16:48:00,1900-04-09 09:36:00,NA,"0.3","-0.4"
"42491",1026.9,748.5,331.3,196.5,157.6,113.8,107.3,1900-04-11,1900-04-06 21:36:00,1900-04-09 14:24:00,NA,"0.1","-0.4"
"42522",1028.3,749.6,331.8,196.8,157.8,114,107.4,1900-04-11 02:24:00,1900-04-07,1900-04-09 16:48:00,NA,"0.1","-0.4"
"42552",1023.7,746.2,330.3,195.9,157.1,113.5,107,1900-04-10 14:24:00,1900-04-06 14:24:00,1900-04-09 07:12:00,NA,"-0.4","-0.2"
"42583",1022.7,745.5,330,195.7,157,113.4,106.9,1900-04-10 12:00:00,1900-04-06 12:00:00,1900-04-09 04:48:00,NA,"-0.1","-0.1"
"42614",1023.3,745.9,330.2,195.8,157.1,113.4,106.9,1900-04-10 14:24:00,1900-04-06 12:00:00,1900-04-09 04:48:00,NA,"0.1","-0.2"
"42644",1023.8,746.3,330.3,195.9,157.2,113.5,107,1900-04-10 16:48:00,1900-04-06 14:24:00,1900-04-09 07:12:00,NA,"0.1","-0.2"
"42675",1021.8,744.8,329.7,195.6,156.8,113.3,106.8,1900-04-10 12:00:00,1900-04-06 09:36:00,1900-04-09 02:24:00,NA,"-0.2","-0.3"
"42705",1021,744.2,329.4,195.4,156.7,113.2,106.7,1900-04-10 09:36:00,1900-04-06 07:12:00,1900-04-09,NA,"-0.1","0"
"42736",1020.7,744,329.3,195.3,156.7,113.1,106.6,1900-04-10 07:12:00,1900-04-06 07:12:00,1900-04-09,NA,"0","0.3"
"42767",1025.6,747.6,330.9,196.3,157.4,113.7,107.2,1900-04-10 19:12:00,1900-04-06 16:48:00,1900-04-09 09:36:00,NA,"0.5","0.6"
"42795",1027.8,749.2,331.6,196.7,157.8,113.9,107.4,1900-04-11,1900-04-06 21:36:00,1900-04-09 16:48:00,NA,"0.2","0.6"
"42826",1029.9,750.7,332.3,197.1,158.1,114.2,107.6,1900-04-11 07:12:00,1900-04-07 02:24:00,1900-04-09 21:36:00,NA,"0.2","0.4"
"42856",1031.8,752.1,332.9,197.5,158.4,114.4,107.8,1900-04-11 09:36:00,1900-04-07 07:12:00,1900-04-10,NA,"0.2","0.5"
"42887",1030.3,751,332.4,197.2,158.1,114.2,107.7,1900-04-11 07:12:00,1900-04-07 04:48:00,1900-04-09 21:36:00,NA,"-0.1","0.2"
"42917",1027.1,748.7,331.4,196.6,157.7,113.9,107.3,1900-04-11,1900-04-06 21:36:00,1900-04-09 14:24:00,NA,"-0.3","0.3"
"42948",1027.4,748.9,331.5,196.6,157.7,113.9,107.4,1900-04-11,1900-04-06 21:36:00,1900-04-09 14:24:00,NA,"0","0.5"
"42979",1030,750.8,332.3,197.1,158.1,114.2,107.6,1900-04-11 07:12:00,1900-04-07 04:48:00,1900-04-09 21:36:00,NA,"0.2","0.7"
"43009",1030.6,751.3,332.5,197.2,158.2,114.2,107.7,1900-04-11 07:12:00,1900-04-07 04:48:00,1900-04-09 21:36:00,NA,"0.1","0.7"
"43040",1029.9,750.7,332.3,197.1,158.1,114.2,107.6,1900-04-11 07:12:00,1900-04-07 02:24:00,1900-04-09 21:36:00,NA,"-0.1","0.8"
"43070",1029.6,750.5,332.2,197,158,114.1,107.6,1900-04-11 04:48:00,1900-04-07 02:24:00,1900-04-09 19:12:00,NA,"0","0.8"
"43101",1028.2,749.5,331.7,196.8,157.8,114,107.4,1900-04-11 02:24:00,1900-04-07,1900-04-09 16:48:00,NA,"-0.1","0.7"
"43132",1032,752.3,333,197.5,158.4,114.4,107.8,1900-04-11 12:00:00,1900-04-07 07:12:00,1900-04-10 02:24:00,NA,"0.4","0.6"
"43160",1036,755.2,334.2,198.3,159,114.8,108.2,1900-04-11 21:36:00,1900-04-07 16:48:00,1900-04-10 12:00:00,NA,"0.4","0.8"
"43191",1038.1,756.7,334.9,198.7,159.3,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,1900-04-10 16:48:00,NA,"0.2","0.8"
"43221",1042.1,759.6,336.2,199.4,160,115.5,108.9,1900-04-12 12:00:00,1900-04-08 07:12:00,1900-04-11 02:24:00,NA,"0.4","1"
"43252",1042.1,759.6,336.2,199.4,160,115.5,108.9,1900-04-12 12:00:00,1900-04-08 07:12:00,1900-04-11 02:24:00,NA,"0","1.1000000000000001"
"43282",1039.7,757.9,335.5,199,159.6,115.3,108.6,1900-04-12 04:48:00,1900-04-08 02:24:00,1900-04-10 19:12:00,NA,"-0.2","1.2"
"43313",1039.6,757.8,335.4,198.9,159.6,115.2,108.6,1900-04-12 04:48:00,1900-04-08 02:24:00,1900-04-10 19:12:00,NA,"0","1.2"
"43344",1040.2,758.2,335.6,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,1900-04-10 21:36:00,NA,"0.1","1"
"43374",1042,759.6,336.2,199.4,159.9,115.5,108.9,1900-04-12 12:00:00,1900-04-08 07:12:00,1900-04-11 02:24:00,NA,"0.2","1.1000000000000001"
"43405",1039.4,757.6,335.3,198.9,159.5,115.2,108.6,1900-04-12 04:48:00,1900-04-08,1900-04-10 19:12:00,NA,"-0.3","0.9"
"43435",1036.7,755.7,334.5,198.4,159.1,114.9,108.3,1900-04-11 21:36:00,1900-04-07 19:12:00,1900-04-10 12:00:00,NA,"-0.3","0.7"
"43466",1034,753.7,333.6,197.9,158.7,114.6,108,1900-04-11 16:48:00,1900-04-07 12:00:00,1900-04-10 07:12:00,NA,"-0.3","0.6"
"43497",1038,756.6,334.9,198.6,159.3,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,1900-04-10 16:48:00,NA,"0.4","0.6"
"43525",1043.5,760.7,336.7,199.7,160.2,115.7,109,1900-04-12 14:24:00,1900-04-08 09:36:00,1900-04-11 04:48:00,NA,"0.5","0.7"
"43556",1045.5,762.1,337.3,200.1,160.5,115.9,109.2,1900-04-12 19:12:00,1900-04-08 14:24:00,1900-04-11 09:36:00,NA,"0.2","0.7"
"43586",1048.7,764.4,338.4,200.7,161,116.2,109.6,1900-04-13 02:24:00,1900-04-08 21:36:00,1900-04-11 16:48:00,NA,"0.3","0.6"
"43617",1048.4,764.2,338.3,200.6,160.9,116.2,109.5,1900-04-13 02:24:00,1900-04-08 21:36:00,1900-04-11 16:48:00,NA,"0","0.6"
"43647",1043,760.3,336.5,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,1900-04-11 02:24:00,NA,"-0.5","0.3"
"43678",1042.9,760.2,336.5,199.6,160.1,115.6,109,1900-04-12 12:00:00,1900-04-08 09:36:00,1900-04-11 02:24:00,NA,"0","0.3"
"43709",1041.7,759.3,336.1,199.4,159.9,115.5,108.9,1900-04-12 09:36:00,1900-04-08 07:12:00,1900-04-11,NA,"-0.1","0.1"
"43739",1039.4,757.6,335.3,198.9,159.5,115.2,108.6,1900-04-12 04:48:00,1900-04-08,1900-04-10 19:12:00,NA,"-0.2","-0.3"
"43770",1038,756.6,334.9,198.6,159.3,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,1900-04-10 16:48:00,NA,"-0.1","-0.1"
"43800",1038.3,756.9,335,198.7,159.4,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,1900-04-10 16:48:00,NA,"0","0.2"
"43831",1036.1,755.2,334.3,198.3,159,114.8,108.3,1900-04-11 21:36:00,1900-04-07 16:48:00,1900-04-10 12:00:00,NA,"-0.2","0.2"
"43862",1037.4,756.2,334.7,198.5,159.2,115,108.4,1900-04-12,1900-04-07 21:36:00,1900-04-10 14:24:00,NA,"0.1","-0.1"
"43891",1038.1,756.7,334.9,198.7,159.3,115.1,108.5,1900-04-12 02:24:00,1900-04-07 21:36:00,1900-04-10 16:48:00,NA,"0.1","-0.5"
"43922",1034.4,754,333.7,198,158.8,114.7,108.1,1900-04-11 16:48:00,1900-04-07 14:24:00,1900-04-10 07:12:00,NA,"-0.4","-1.1000000000000001"
"43952",1034.8,754.3,333.9,198,158.8,114.7,108.1,1900-04-11 16:48:00,1900-04-07 14:24:00,1900-04-10 07:12:00,NA,"0","-1.3"
"43983",1035,754.5,333.9,198.1,158.9,114.7,108.1,1900-04-11 19:12:00,1900-04-07 14:24:00,1900-04-10 09:36:00,NA,"0","-1.3"
"44013",1033.4,753.3,333.4,197.8,158.6,114.6,108,1900-04-11 14:24:00,1900-04-07 12:00:00,1900-04-10 04:48:00,NA,"-0.2","-0.9"
"44044",1033.8,753.6,333.6,197.9,158.7,114.6,108,1900-04-11 14:24:00,1900-04-07 12:00:00,1900-04-10 04:48:00,NA,"0","-0.9"
"44075",1033.4,753.3,333.4,197.8,158.6,114.6,108,1900-04-11 14:24:00,1900-04-07 12:00:00,1900-04-10 04:48:00,NA,"0","-0.8"
"44105",1033.5,753.3,333.4,197.8,158.6,114.6,108,1900-04-11 14:24:00,1900-04-07 12:00:00,1900-04-10 04:48:00,NA,"0","-0.6"
"44136",1030.9,751.5,332.6,197.3,158.2,114.3,107.7,1900-04-11 09:36:00,1900-04-07 04:48:00,1900-04-10,NA,"-0.2","-0.7"
"44166",1029.9,750.7,332.3,197.1,158.1,114.2,107.6,1900-04-11 07:12:00,1900-04-07 02:24:00,1900-04-09 21:36:00,1900-04-09,"-0.1","-0.8"
"44197",1030.4,751.1,332.5,197.2,158.2,114.2,107.7,1900-04-11 07:12:00,1900-04-07 04:48:00,1900-04-09 21:36:00,1900-04-09 02:24:00,"0.1","-0.5"
"44228",1032.1,752.3,333,197.5,158.4,114.4,107.8,1900-04-11 12:00:00,1900-04-07 09:36:00,1900-04-10 02:24:00,1900-04-09 04:48:00,"0.2","-0.5"
"44256",1035.6,754.9,334.1,198.2,159,114.8,108.2,1900-04-11 19:12:00,1900-04-07 16:48:00,1900-04-10 09:36:00,1900-04-09 14:24:00,"0.3","-0.2"
"44287",1037.8,756.5,334.8,198.6,159.3,115,108.4,1900-04-12,1900-04-07 21:36:00,1900-04-10 14:24:00,1900-04-09 19:12:00,"0.2","0.3"
"44317",1040.5,758.5,335.7,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 04:48:00,1900-04-10 21:36:00,1900-04-10,"0.3","0.6"
"44348",1041.3,759,336,199.3,159.8,115.4,108.8,1900-04-12 09:36:00,1900-04-08 04:48:00,1900-04-11,1900-04-10 02:24:00,"0.1","0.6"
"44378",1040.4,758.4,335.7,199.1,159.7,115.3,108.7,1900-04-12 07:12:00,1900-04-08 02:24:00,1900-04-10 21:36:00,1900-04-10,"-0.1","0.7"
"44409",1043,760.2,336.5,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,1900-04-11 02:24:00,1900-04-10 07:12:00,"0.2","0.9"
"44440",1043.1,760.4,336.6,199.6,160.1,115.6,109,1900-04-12 14:24:00,1900-04-08 09:36:00,1900-04-11 04:48:00,1900-04-10 07:12:00,"0","0.9"
"44470",1046.3,762.7,337.6,200.2,160.6,116,109.3,1900-04-12 21:36:00,1900-04-08 16:48:00,1900-04-11 12:00:00,1900-04-10 14:24:00,"0.3","1.2"
"44501",1046.7,763,337.7,200.3,160.7,116,109.4,1900-04-12 21:36:00,1900-04-08 16:48:00,1900-04-11 12:00:00,1900-04-10 14:24:00,"0","1.5"
"44531",1045.6,762.2,337.4,200.1,160.5,115.9,109.3,1900-04-12 19:12:00,1900-04-08 14:24:00,1900-04-11 09:36:00,1900-04-10 12:00:00,"-0.1","1.5"
"44562",1047.4,763.5,337.9,200.5,160.8,116.1,109.4,1900-04-13,1900-04-08 19:12:00,1900-04-11 14:24:00,1900-04-10 16:48:00,"0.2","1.6"
"44593",1054.3,768.5,340.2,201.8,161.8,116.9,110.2,1900-04-13 16:48:00,1900-04-09 12:00:00,1900-04-12 07:12:00,1900-04-11 09:36:00,"0.7","2.2000000000000002"
"44621",1060.3,772.9,342.1,202.9,162.7,117.5,110.8,1900-04-14 07:12:00,1900-04-10,1900-04-12 19:12:00,1900-04-12,"0.6","2.4"
"44652",1064.2,775.7,343.4,203.7,163.3,118,111.2,1900-04-14 16:48:00,1900-04-10 09:36:00,1900-04-13 04:48:00,1900-04-12 07:12:00,"0.4","2.5"
"44682",1071.1,780.8,345.6,205,164.4,118.7,111.9,1900-04-15 07:12:00,1900-04-11 02:24:00,1900-04-13 21:36:00,1900-04-13,"0.7","2.9"
"44713",1076.5,784.7,347.3,206,165.2,119.3,112.5,1900-04-15 21:36:00,1900-04-11 14:24:00,1900-04-14 09:36:00,1900-04-13 12:00:00,"0.5","3.4"
"44743",1076.1,784.4,347.2,205.9,165.2,119.3,112.4,1900-04-15 19:12:00,1900-04-11 14:24:00,1900-04-14 09:36:00,1900-04-13 12:00:00,"0","3.4"
"44774",1079,786.5,348.1,206.5,165.6,119.6,112.7,1900-04-16 02:24:00,1900-04-11 19:12:00,1900-04-14 16:48:00,1900-04-13 19:12:00,"0.3","3.5"
"44805",1077.1,785.1,347.5,206.1,165.3,119.4,112.5,1900-04-15 21:36:00,1900-04-11 14:24:00,1900-04-14 12:00:00,1900-04-13 14:24:00,"-0.2","3.3"
"44835",1077.6,785.5,347.7,206.2,165.4,119.5,112.6,1900-04-16,1900-04-11 16:48:00,1900-04-14 12:00:00,1900-04-13 14:24:00,"0.1","3"
"44866",1077.7,785.6,347.7,206.2,165.4,119.5,112.6,1900-04-16,1900-04-11 16:48:00,1900-04-14 12:00:00,1900-04-13 14:24:00,"0","3"
"44896",1075.3,783.8,346.9,205.8,165.1,119.2,112.4,1900-04-15 19:12:00,1900-04-11 12:00:00,1900-04-14 07:12:00,1900-04-13 09:36:00,"-0.2","2.8"
"44927",1081.8,788.6,349,207,166,119.9,113,1900-04-16 09:36:00,1900-04-12 02:24:00,1900-04-14 21:36:00,1900-04-14,"0.6","3.3"
"44958",1089.9,794.4,351.6,208.6,167.3,120.8,113.9,1900-04-17 04:48:00,1900-04-12 21:36:00,1900-04-15 16:48:00,1900-04-14 19:12:00,"0.7","3.4"
"44986",1091.5,795.7,352.2,208.9,167.5,121,114.1,1900-04-17 09:36:00,1900-04-13,1900-04-15 21:36:00,1900-04-15,"0.2","2.9"
"45017",1091.5,795.6,352.2,208.9,167.5,121,114.1,1900-04-17 09:36:00,1900-04-13,1900-04-15 21:36:00,1900-04-15,"0","2.6"
"45047",1094.2,797.6,353,209.4,168,121.3,114.3,1900-04-17 14:24:00,1900-04-13 07:12:00,1900-04-16 04:48:00,1900-04-15 07:12:00,"0.3","2.2000000000000002"
"45078",1094.9,798.1,353.3,209.5,168.1,121.4,114.4,1900-04-17 16:48:00,1900-04-13 07:12:00,1900-04-16 04:48:00,1900-04-15 07:12:00,"0.1","1.7"
"45108",1093.4,797,352.8,209.3,167.8,121.2,114.2,1900-04-17 14:24:00,1900-04-13 04:48:00,1900-04-16 02:24:00,1900-04-15 04:48:00,"-0.1","1.6"
"45139",1095.7,798.7,353.5,209.7,168.2,121.5,114.5,1900-04-17 19:12:00,1900-04-13 09:36:00,1900-04-16 07:12:00,1900-04-15 09:36:00,"0.2","1.6"
